gold_id,latitude,longitude
Go0005437,31.1,35.383333
Go0005490,44.76,-110.74
Go0005626,38,-123.01
Go0005694,57.243,-2.686
Go0005840,57.333333,20.05
Go0005849,37.825278,-122.296389
Go0005857,51.533,9.933
Go0005858,48.139,11.58
Go0005859,41.503,-5.746
Go0005880,51.96,5.67
Go0005888,22.760875,120.637579
Go0005919,52.17,10.55
Go0005931,37.871,-122.272
Go0005933,36.5693,-121.86
Go0005935,28.063861,89.682599
Go0005967,7.528,81.357
Go0005970,59.332,18.064
Go0006004,51.01,3.74
Go0006014,40.651893,-119.376659
Go0006015,41.051289,-119.02879
Go0006017,37.4018,-122.245
Go0006045,69.05,20.833333
Go0006046,69.0096,20.9385
Go0006055,51.513871,7.465782
Go0006117,46.3262052,7.5722559
Go0006167,38.012,-118.976
Go0006168,47.663,9.175
Go0006215,36.01,-84.263
Go0006244,44.630844,-110.440292
Go0006309,28.65,140.82
Go0006316,40.594649,-7.872571
Go0006321,44.603028,-110.865194
Go0006324,36.947098,129.530165
Go0006325,53.45,8.2
Go0006340,64.000353,-21.200194
Go0006354,54.518929,159.975815
Go0006355,42.406669,-85.40053
Go0006375,47.393,-119.492
Go0006380,20.673,-101.354
Go0006434,-22.663,-66.236
Go0006462,40.742,-74.172
Go0006506,41.61,-70.57
Go0006519,37.16,-3.59
Go0006533,36.010783,-84.27
Go0006535,32.42,-104.228
Go0006536,23.75298511,120.9498753
Go0006537,37.436,138.838
Go0006541,58.233,38.12
Go0006550,37.76854,-25.331441
Go0006554,-11.941,34.419
Go0006610,46.9577,-117.0263
Go0006616,42.34,-83.04
Go0006636,37.774,-122.419
Go0006641,44.354886,-103.763954
Go0006642,56.51,82.5
Go0006650,57.333333,20.05
Go0006651,44.354886,-103.763954
Go0006654,-1.944676,36.252237
Go0006657,57.617655,19.499173
Go0006677,36.000785,-84.275494
Go0006680,46.986,8.339
Go0006695,45.321,60.642
Go0006703,32.84,-117.258
Go0006711,44.354886,-103.763954
Go0006720,50.814788,8.769239
Go0006753,-33.911276,150.97474
Go0006754,44.354886,-103.763954
Go0006755,-12.49,-4.99
Go0006785,43.2,114.016
Go0006787,34.69,135.195
Go0006794,-1.9446,36.2522
Go0006800,43.916,115.616
Go0006804,40.853,14.153
Go0006809,43.916667,115.616667
Go0006935,43.793,87.627
Go0007023,78.924,11.955
Go0007031,53.722222,7.722222
Go0007065,35.059529,-98.470459
Go0007074,31.496,35.496
Go0007183,50.708,-71.8981
Go0007192,31.448584,35.403503
Go0007230,22.341,114.281
Go0007260,53.723692,8.172912
