gold_id,latitude,longitude
Gp0011518,25.671667,-100.341667
Gp0011519,40.661433,-119.36625
Gp0011543,25.671667,-100.341667
Gp0011595,49.682207,-124.005217
Gp0011596,49.682207,-124.005217
Gp0011597,49.682207,-124.005217
Gp0011598,49.682207,-124.005217
Gp0011599,49.682207,-124.005217
Gp0011601,25.671667,-100.341667
Gp0011602,44.354886,-103.763954
Gp0011604,44.354886,-103.763954
Gp0011605,44.354886,-103.763954
Gp0011606,44.354886,-103.763954
Gp0011609,44.354886,-103.763954
Gp0011611,44.354886,-103.763954
Gp0011638,49.682207,-124.005217
Gp0011639,49.682207,-124.005217
Gp0011640,49.682207,-124.005217
Gp0011641,49.682207,-124.005217
Gp0011642,49.682207,-124.005217
Gp0011643,49.682207,-124.005217
Gp0011644,49.682207,-124.005217
Gp0011645,49.682207,-124.005217
Gp0011647,49.682207,-124.005217
Gp0011648,49.682207,-124.005217
Gp0011725,44.354886,-103.763954
Gp0011838,9.8367,-104.2917
Gp0011839,9.8367,-104.2917
Gp0011929,40.661433,-119.36625
Gp0011965,40.661433,-119.36625
Gp0011967,40.661433,-119.36625
Gp0011968,40.661433,-119.36625
Gp0011969,40.661433,-119.36625
Gp0011970,40.661433,-119.36625
Gp0011973,40.661433,-119.36625
Gp0011974,40.661433,-119.36625
Gp0011976,49.682207,-124.005217
Gp0011978,49.682207,-124.005217
Gp0011979,49.682207,-124.005217
Gp0011980,49.682207,-124.005217
Gp0011981,49.682207,-124.005217
Gp0011982,49.682207,-124.005217
Gp0011983,49.682207,-124.005217
Gp0011984,49.682207,-124.005217
Gp0011985,49.682207,-124.005217
Gp0011986,49.682207,-124.005217
Gp0012013,40.661433,-119.36625
Gp0012015,40.661433,-119.36625
Gp0012016,40.661433,-119.36625
Gp0012019,40.661433,-119.36625
Gp0012020,40.661433,-119.36625
Gp0012021,40.661433,-119.36625
Gp0012023,49.682207,-124.005217
Gp0012024,49.682207,-124.005217
Gp0012025,49.682207,-124.005217
Gp0012027,49.682207,-124.005217
Gp0012028,49.682207,-124.005217
Gp0012029,49.682207,-124.005217
Gp0012031,49.682207,-124.005217
Gp0012032,49.682207,-124.005217
Gp0012033,49.682207,-124.005217
Gp0012066,40.661433,-119.36625
Gp0012067,40.661433,-119.36625
Gp0012069,40.661433,-119.36625
Gp0012073,40.661433,-119.36625
Gp0012075,49.682207,-124.005217
Gp0012076,49.682207,-124.005217
Gp0012077,49.682207,-124.005217
Gp0012078,49.682207,-124.005217
Gp0012083,44.354886,-103.763954
Gp0012116,49.682207,-124.005217
Gp0012117,49.682207,-124.005217
Gp0012118,49.682207,-124.005217
Gp0012119,49.682207,-124.005217
Gp0012121,49.682207,-124.005217
Gp0012122,49.682207,-124.005217
Gp0012123,49.682207,-124.005217
Gp0012124,49.682207,-124.005217
Gp0012125,49.682207,-124.005217
Gp0012157,15.55,114.49
Gp0012159,44.4123,8.9264
Gp0012220,50.086,14.441
Gp0012238,75.006667,-169.993611
Gp0012240,41.9,12.48
