biosample_id,latitude,longitude
nmdc:bsm-11-0j182d47,63.877756,-145.753497
nmdc:bsm-11-0j2bs453,43.0995,-89.4045
nmdc:bsm-11-0j3ff625,45.487729,-89.569881
nmdc:bsm-11-0j8e6d39,31.196488,-84.464108
nmdc:bsm-11-0jdesy83,68.627175,-149.590514
nmdc:bsm-11-0jgtxr69,43.0995,-89.4045
nmdc:bsm-11-0jh8w006,43.0995,-89.4045
nmdc:bsm-11-0jrp3613,44.296098,-85.199612
nmdc:bsm-11-0jsqys69,32.922166,-87.428895
nmdc:bsm-11-0jw46z66,63.8798,-149.21539
nmdc:bsm-11-0jxgba87,39.119992,-96.546015
nmdc:bsm-11-0k42k540,38.5326,-121.783
nmdc:bsm-11-0k57sy88,44.296098,-85.199612
nmdc:bsm-11-0k5bep35,31.862142,-110.818853
nmdc:bsm-11-0k60dv12,42.966111,-89.35611
nmdc:bsm-11-0k6dy332,17.967743,-66.864301
nmdc:bsm-11-0k6fam25,37.21014,-80.44513
nmdc:bsm-11-0k8nkx16,35.8444,-83.9599
nmdc:bsm-11-0kawe915,14.8744,-87.9835
nmdc:bsm-11-0kekqm16,35.965875,-84.230646
nmdc:bsm-11-0ksnwp91,38.5326,-121.783
nmdc:bsm-11-0kywv165,44.296098,-85.199612
nmdc:bsm-11-0manyb74,44.296098,-85.199683
nmdc:bsm-11-0mbb0m42,43.0995,-89.4045
nmdc:bsm-11-0mmva916,28.074209,-81.425532
nmdc:bsm-11-0mphb608,42.476365,-85.451887
nmdc:bsm-11-0mr28n73,44.296098,-85.199612
nmdc:bsm-11-0mt42v27,69.82278,-148.67861
nmdc:bsm-11-0my71807,42.476365,-85.451887
nmdc:bsm-11-0n3z7r33,46.68323333,-11.6042
nmdc:bsm-11-0n9kgt73,35.419991,-99.057264
nmdc:bsm-11-0nas9n36,46.256193,-89.515052
nmdc:bsm-11-0nazn012,38.5382,-121.7617
nmdc:bsm-11-0nbmnc66,46.256193,-89.515052
nmdc:bsm-11-0nd36621,32.893534,-87.415333
nmdc:bsm-11-0ne9e584,43.0995,-89.4045
nmdc:bsm-11-0nez8d79,19.549124,-155.312265
nmdc:bsm-11-0nk4at30,38.24454,-109.389977
nmdc:bsm-11-0np0tc25,42.013,-93.743
nmdc:bsm-11-0nq44g76,42.476365,-85.451887
nmdc:bsm-11-0nqehw82,17.967743,-66.864301
nmdc:bsm-11-0nrjh736,45.665551,-89.218027
nmdc:bsm-11-0nx48646,44.296098,-85.199648
nmdc:bsm-11-0p3waw07,18.321,-65.8172
nmdc:bsm-11-0p6p9b27,42.476365,-85.451887
nmdc:bsm-11-0p6sfk08,44.296098,-85.19965
nmdc:bsm-11-0p86vg14,42.013,-93.743
nmdc:bsm-11-0pd6r038,42.476365,-85.451887
nmdc:bsm-11-0pm8jq17,47.127465,-99.246302
nmdc:bsm-11-0pnrfe25,42.476365,-85.451887
nmdc:bsm-11-0pp1y564,46.1214,-123.2715
nmdc:bsm-11-0pq23720,64.8558,-147.8335
nmdc:bsm-11-0pq46m48,38.920297724,-106.948759261
nmdc:bsm-11-0pqvg660,42.39,-85.37
nmdc:bsm-11-0pybkd05,37.426799,-80.564064
nmdc:bsm-11-0pyv7738,68.627175,-149.590514
nmdc:bsm-11-0q0ytn25,38.93,-77.05
nmdc:bsm-11-0q1w4832,38.5382,-121.7617
nmdc:bsm-11-0q26tj53,37.20772,-6.957318
nmdc:bsm-11-0qa78w81,40.463935,-103.035332
nmdc:bsm-11-0qbfyr37,47.16165,-99.10656
nmdc:bsm-11-0qmafj75,42.013,-93.743
nmdc:bsm-11-0qmfcv11,42.39,-85.37
nmdc:bsm-11-0qx29v78,44.296098,-85.199612
nmdc:bsm-11-0qypsy03,45.825842,-121.960125
nmdc:bsm-11-0r62mq05,40.277348,-105.545588
nmdc:bsm-11-0r8k7q62,44.296098,-85.199683
nmdc:bsm-11-0rf6yr44,42.476365,-85.451887
nmdc:bsm-11-0rn5v405,39.103827,-96.561811
nmdc:bsm-11-0rnz8g06,63.87307,-149.287886
nmdc:bsm-11-0rqhtj66,30.6907,-91.7362
nmdc:bsm-11-0rqnr440,47.131002,-99.242763
nmdc:bsm-11-0rqs8455,39.05941,-78.07207
nmdc:bsm-11-0rtyy508,42.39,-85.37
nmdc:bsm-11-0rvewk88,43.0995,-89.4045
nmdc:bsm-11-0ryfcf84,44.296098,-85.199612
nmdc:bsm-11-0rygg262,-37.796972960817214,144.95895892649088
nmdc:bsm-11-0s4z3q14,37.1235,-119.748517
nmdc:bsm-11-0s62j636,35.916313,-84.263286
nmdc:bsm-11-0s7xvb75,47.127465,-99.246302
nmdc:bsm-11-0snmnf40,44.226658,-122.163778
nmdc:bsm-11-0t2nbd91,46.248534,-89.520942
nmdc:bsm-11-0t30k005,40.76835556,-111.8462639
nmdc:bsm-11-0t4hha86,51.381883,30.037636
nmdc:bsm-11-0ta1qp62,44.296098,-85.199615
nmdc:bsm-11-0tbjtz54,45.824185,-121.955555
nmdc:bsm-11-0tde3t26,46.237778,-89.541857
nmdc:bsm-11-0teqzx96,33.414259,-97.597098
nmdc:bsm-11-0thxv339,46.234247,-89.542459
nmdc:bsm-11-0tqtww96,44.296098,-85.199612
nmdc:bsm-11-0v0ecc36,42.392282,-72.254598
nmdc:bsm-11-0v1etz47,18.035349,-67.073331
nmdc:bsm-11-0v2kpm96,28.073118,-81.428559
nmdc:bsm-11-0v4vv913,51.172432,30.045733
nmdc:bsm-11-0v7hes85,42.013,-93.743
nmdc:bsm-11-0v8s9y84,45.83986,-119.70058
nmdc:bsm-11-0v9c0z98,45.665551,-89.218027
nmdc:bsm-11-0ve03274,10.42727,-84.00228
nmdc:bsm-11-0vfd3065,42.013,-93.743
nmdc:bsm-11-0vjrp307,42.476365,-85.451887
nmdc:bsm-11-0vqkxy43,45.763274,-87.187681
nmdc:bsm-11-0w42bz83,45.763274,-87.187681
nmdc:bsm-11-0wb39875,39.043184,-95.202721
nmdc:bsm-11-0wg4f504,44.119417,-89.533806
nmdc:bsm-11-0whn0117,39.043184,-95.202721
nmdc:bsm-11-0wvxcg04,40.810934,-104.729248
nmdc:bsm-11-0x01kf67,8.6274667,-79.0547583
nmdc:bsm-11-0x29fa54,42.013,-93.743
nmdc:bsm-11-0x2ymd43,39.110903,-96.552209
nmdc:bsm-11-0x5m4z09,40.185938,-112.47248
nmdc:bsm-11-0x7bvh88,17.973138,-66.861701
nmdc:bsm-11-0x9p8y05,71.258668,-156.648849
nmdc:bsm-11-0xajtb06,42.39,-85.37
nmdc:bsm-11-0xg3w467,45.797373,-90.092307
nmdc:bsm-11-0xg79673,44.296098,-85.199612
nmdc:bsm-11-0xkg1h94,32.8993,35.6136
nmdc:bsm-11-0xm44r37,39.057723,-78.070917
nmdc:bsm-11-0xn27x15,32.590562,-106.82446
nmdc:bsm-11-0xp9nk46,44.296098,-85.199612
nmdc:bsm-11-0xqxvc88,44.5878,-123.1926
nmdc:bsm-11-0xs3cz68,18.321,-65.8172
nmdc:bsm-11-0xvgya91,47.131002,-99.242763
nmdc:bsm-11-0xxg0878,45.665551,-89.218027
nmdc:bsm-11-0xxj7a46,68.627175,-149.590514
nmdc:bsm-11-0xxs4588,44.296098,-85.199683
nmdc:bsm-11-0yb49r23,42.39,-85.37
nmdc:bsm-11-0yeqsq36,44.296098,-85.199612
nmdc:bsm-11-0yjc5n80,64.8558,-147.8335
nmdc:bsm-11-0ykczz33,42.476365,-85.451887
nmdc:bsm-11-0ynadq83,43.0995,-89.4045
nmdc:bsm-11-0ys39334,45.665551,-89.218076
nmdc:bsm-11-0yw1rj05,40.460659,-103.033324
nmdc:bsm-11-0ywr3c59,38.236381,-109.406596
nmdc:bsm-11-0z0yn327,34.4204,-119.6671
nmdc:bsm-11-0z0z0144,43.0995,-89.4045
nmdc:bsm-11-0z4fw943,21.02361,-86.77158
nmdc:bsm-11-0z7ad930,44.296098,-85.199612
nmdc:bsm-11-0zbejz22,43.0995,-89.4045
nmdc:bsm-11-0zcdcz38,37.106602,-119.72024
nmdc:bsm-11-0zd71e37,37.37556,-80.5202
nmdc:bsm-11-0zddn388,43.099,-89.405
nmdc:bsm-11-0zgy0491,39.078872,-77.963659
nmdc:bsm-11-0zn3g786,42.39,-85.37
nmdc:bsm-11-0zp00g98,37.110011,-119.735218
nmdc:bsm-11-0zxynz54,37.110011,-119.735218
nmdc:bsm-11-101d8291,43.0995,-89.4045
nmdc:bsm-11-1026rp71,42.30844,-71.3412
nmdc:bsm-11-102q0657,42.966111,-89.35611
nmdc:bsm-11-1048m402,44.296098,-85.199612
nmdc:bsm-11-104brf69,44.951273,-110.536649
nmdc:bsm-11-105s2303,42.013,-93.743
nmdc:bsm-11-106c8d05,38.897609,-78.152007
nmdc:bsm-11-10c7qy36,45.744589,-122.381659
nmdc:bsm-11-10cg0s25,38.887763,-78.147164
nmdc:bsm-11-10czxf79,42.739897,-70.83609
nmdc:bsm-11-10fc8a15,44.954277,-110.541571
nmdc:bsm-11-10g75712,32.8993,35.6136
nmdc:bsm-11-10jt6t90,42.476365,-85.451887
nmdc:bsm-11-10k0rc51,42.476365,-85.451887
nmdc:bsm-11-10k8xw70,45.83986,-119.70058
nmdc:bsm-11-10kan307,42.476365,-85.451887
nmdc:bsm-11-10kjq953,37.851667,-122.294444
nmdc:bsm-11-10mq8376,42.476365,-85.451887
nmdc:bsm-11-10n69j27,42.013,-93.743
nmdc:bsm-11-10nmzz70,42.476365,-85.451887
nmdc:bsm-11-10pxxs40,42.013,-93.743
nmdc:bsm-11-10re4k49,42.392282,-72.254598
nmdc:bsm-11-10vg3331,44.119417,-89.533806
nmdc:bsm-11-10vgv258,42.013,-93.743
nmdc:bsm-11-1109f777,51.01,100.45
nmdc:bsm-11-11226k13,43.1231,-116.7745
nmdc:bsm-11-1125yh42,42.013,-93.743
nmdc:bsm-11-112jxh69,50.91020354498825,6.414313738007794
nmdc:bsm-11-113ags24,42.476365,-85.451887
nmdc:bsm-11-113gg097,35.412139,-99.069792
nmdc:bsm-11-115r6257,40.185938,-112.47248
nmdc:bsm-11-116fe613,33.398235,-97.566725
nmdc:bsm-11-1185ft33,44.296098,-85.199612
nmdc:bsm-11-11a1rr28,42.39,-85.37
nmdc:bsm-11-11avmz59,68.627175,-149.590514
nmdc:bsm-11-11b34877,45.665551,-89.218038
nmdc:bsm-11-11hvm142,38.887763,-78.147164
nmdc:bsm-11-11jk9a93,31.910099,-110.837175
nmdc:bsm-11-11paxx81,45.824185,-121.955555
nmdc:bsm-11-11q52h81,42.013,-93.743
nmdc:bsm-11-11ybd810,45.822941,-121.998707
nmdc:bsm-11-127y7152,42.481016,-72.178343
nmdc:bsm-11-12e4ke56,33.403989,-97.572744
nmdc:bsm-11-12esnc57,39.290308,-76.74376
nmdc:bsm-11-12khgx15,39.092296,-77.980761
nmdc:bsm-11-12nfem84,45.665551,-89.218086
nmdc:bsm-11-12snfw81,44.296098,-85.199653
nmdc:bsm-11-12vq4a05,44.119417,-89.533806
nmdc:bsm-11-12zm4r83,42.478565,-72.259572
nmdc:bsm-11-1302r041,45.47756,-123.84166
nmdc:bsm-11-133a9t75,17.972768,-66.851235
nmdc:bsm-11-135tf197,42.013,-93.743
nmdc:bsm-11-1362ms92,39.033698,-78.041788
nmdc:bsm-11-13b8a328,35.9076,-79.0506
nmdc:bsm-11-13c4r268,42.013,-93.743
nmdc:bsm-11-13gd4m13,44.119417,-89.533806
nmdc:bsm-11-13kvnw34,40.04845,-105.584355
nmdc:bsm-11-13mnr371,42.722275,-70.846648
nmdc:bsm-11-13n02604,45.844033,-121.999068
nmdc:bsm-11-13p5fw68,35.6667,-78.5097
nmdc:bsm-11-13qyg134,42.476365,-85.451887
nmdc:bsm-11-13rnnv18,37.87745088325767,-122.25056987961348
nmdc:bsm-11-13rvbb54,40.818451,-104.707164
nmdc:bsm-11-13s3f541,37.037898,-119.273529
nmdc:bsm-11-13tve392,35.405108,-99.058568
nmdc:bsm-11-145xg276,65.163534,-147.527149
nmdc:bsm-11-1481pt52,40.197386,-105.472276
nmdc:bsm-11-14986392,68.627943,-149.347229
nmdc:bsm-11-14dtyj87,40.201043,-112.497129
nmdc:bsm-11-14fz4k35,42.966111,-89.35611
nmdc:bsm-11-14hxc920,69.82278,-148.67861
nmdc:bsm-11-14q1kt83,42.476365,-85.451887
nmdc:bsm-11-14qr3105,40.818371,-104.746715
nmdc:bsm-11-14xprx08,39.045354,-95.201392
nmdc:bsm-11-14y6dz18,47.12584,-99.253801
nmdc:bsm-11-154j1k71,44.119417,-89.533806
nmdc:bsm-11-158pa966,39.085485,-77.969265
nmdc:bsm-11-15q6wv37,33.3783,-97.7833
nmdc:bsm-11-15t8c910,38.5326,-121.783
nmdc:bsm-11-162tdx86,29.686609,-81.983
nmdc:bsm-11-163kk106,31.821083,-88.182318
nmdc:bsm-11-1658w550,42.013,-93.743
nmdc:bsm-11-168xmm55,68.627175,-149.590514
nmdc:bsm-11-16svk968,42.476365,-85.451887
nmdc:bsm-11-16t3g930,40.15854,-112.521574
nmdc:bsm-11-16t5jt45,42.013,-93.743
nmdc:bsm-11-16thhh67,44.296098,-85.199612
nmdc:bsm-11-16yk2m32,40.041058,-105.547043
nmdc:bsm-11-1713p538,39.041659,-95.19703
nmdc:bsm-11-171et506,37.116632,-119.730379
nmdc:bsm-11-17ag3b30,67.054281,-150.338328
nmdc:bsm-11-17cg0265,42.476365,-85.451887
nmdc:bsm-11-17djvx32,29.703861,-81.956817
nmdc:bsm-11-17dpqm86,35.410599,-99.058779
nmdc:bsm-11-17hg1e09,38.893949,-78.135536
nmdc:bsm-11-17mk1p49,44.296098,-85.199612
nmdc:bsm-11-17nrhs76,44.296098,-85.199683
nmdc:bsm-11-17rsbh94,40.205921,-112.430276
nmdc:bsm-11-17yggv08,38.993891,-76.977789
nmdc:bsm-11-182t3n64,17.963818,-66.875667
nmdc:bsm-11-185e5f56,42.013,-93.743
nmdc:bsm-11-185xz607,45.763274,-87.187681
nmdc:bsm-11-186rqh54,46.008,-89.701
nmdc:bsm-11-188tvn24,44.296098,-85.199612
nmdc:bsm-11-189gwh62,42.013,-93.743
nmdc:bsm-11-189wmf56,42.013,-93.743
nmdc:bsm-11-18btad96,46.1214,-123.2694
nmdc:bsm-11-18d3ba60,42.013,-93.743
nmdc:bsm-11-18ejwv75,47.151171,-99.262648
nmdc:bsm-11-18mrgb45,32.5,-117.25
nmdc:bsm-11-18mvcq04,45.487729,-89.569881
nmdc:bsm-11-18prbv03,44.296098,-85.199612
nmdc:bsm-11-18vqrs66,37.206429,-6.955089
nmdc:bsm-11-190hex25,63.875088,-149.210438
nmdc:bsm-11-192z8m20,38.5326,-121.783
nmdc:bsm-11-195jdb89,-23.0148666667,14.76665
nmdc:bsm-11-197ez411,80.7666666667,54.65
nmdc:bsm-11-198g9s44,42.966111,-89.35611
nmdc:bsm-11-19kn3r19,42.476365,-85.451887
nmdc:bsm-11-19re6d04,44.296098,-85.199612
nmdc:bsm-11-19v98823,44.5883,-123.1939
nmdc:bsm-11-19z8hm83,35.965875,-84.230646
nmdc:bsm-11-19z9km20,42.39,-85.37
nmdc:bsm-11-1a77a924,35.938227,-84.32368
nmdc:bsm-11-1a7h8b45,42.966111,-89.35611
nmdc:bsm-11-1a8amb81,44.296098,-85.199612
nmdc:bsm-11-1a8dy123,63.897743,-149.225089
nmdc:bsm-11-1a9d1633,44.588,-123.1931
nmdc:bsm-11-1abjk337,43.0995,-89.4045
nmdc:bsm-11-1affyn17,40.190515,-112.51523
nmdc:bsm-11-1ahn0d20,45.665551,-89.218071
nmdc:bsm-11-1am9vt77,65.16148295,-147.4852923
nmdc:bsm-11-1amv9s56,40.201043,-112.497129
nmdc:bsm-11-1aq18b09,42.535686,-72.177968
nmdc:bsm-11-1arx8d80,42.476365,-85.451887
nmdc:bsm-11-1ay3rx25,64.8558,-147.8335
